Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,81,40346,28370,13341,2244,4554,2377,7422,64161,658,4413
C:\Users\Chris\Documents\GitHub\ultimaker2_firmware\Ultimaker2 Marlin General Firmware\Marlin_UM2,81,40346,28370,13341,2244,4554,2377,7422,64161,658,4413
